id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
156	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	119	157
157	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	120	158
158	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	121	159
159	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	450	107	160
160	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	122	161
161	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	112	162
162	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	100	123	163
163	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	124	164
164	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	125	165
165	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	126	166
166	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	127	167
167	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	5	128	168
168	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	129	169
169	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	130	170
170	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	131	171
171	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	132	172
172	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	133	173
173	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	128	174
174	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	134	175
175	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	130	176
176	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	135	177
177	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	136	178
178	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	137	179
179	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	400	138	180
180	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	139	181
181	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	140	182
182	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	30	128	183
183	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	130	184
184	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	141	185
185	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	142	186
186	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	143	187
187	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	144	188
188	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	145	189
189	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	450	128	190
190	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	146	191
191	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	147	192
192	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	148	193
193	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	200	149	194
194	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	50	150	195
195	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	151	196
196	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	152	197
197	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	153	198
198	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	154	199
199	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	20	155	200
200	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	150	201
201	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	156	202
202	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10.5	157	203
203	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	158	204
204	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	600	159	205
205	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	25	160	206
206	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	250	161	207
207	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	10	162	208
208	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	500	163	209
209	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	300	150	210
210	2024-03-23 15:10:15.913664-04	2024-03-23 15:10:15.913664-04	17.29	157	211
