condition_id	icd10_code	created_at	updated_at
c_18010	G56.20	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8147	E72.09	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_7575	T68.XXXA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_7575	T68.XXXD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_7575	T68.XXXS	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8164	E84.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8223	R31.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9982	H49.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2510	K56.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2509	K55.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_20707	P77.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3562	T46.0X4A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3562	T46.0X4D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3562	T46.0X4S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_11556	E78.3	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26598	M79.646	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26608	S63.619A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26608	S63.619D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_26608	S63.619S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10320	C80.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10319	D36.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_22009	J03.90	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4227	D75.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4732	D61.82	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10385	D48.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10613	L92.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10691	B07.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23369	M25.369	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23370	M25.319	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10430	D18.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10429	D48.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8136	E22.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2308	L51.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2298	L40.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_13044	K92.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_8624	E04.1	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_17501	F10.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5893	R55	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_10354	C44.92	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9279	Q89.2	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9280	R09.89	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_3344	N21.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2907	R41.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_2897	R06.00	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_5675	I35.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_4351	I77.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23371	S83.289A	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23371	S83.289D	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_23371	S83.289S	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9661	R48.0	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_6572	M94.9	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_28450	F40.10	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9095	H04.559	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XA	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XB	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XC	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XD	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XE	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XF	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XG	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XH	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XJ	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XK	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XM	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XN	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
c_9427	S52.90XP	2024-02-25 17:44:46.210789-05	2024-02-25 17:44:46.210789-05
