id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
168	3634	I83.0	I83.93	f	f
169	3655	A18.01	A18.02	f	f
170	3681	M15	M19	f	f
171	3683	M18.2	M18.3	f	f
172	3684	M16.4	M16.5	f	f
173	3685	M17.2	M17.3	f	f
174	3688	M15	M19	f	f
175	3689	M15	M19	f	f
176	3690	M15	M19	f	f
177	3692	M36.2	M36.3	f	f
178	3702	M16	M19	f	f
179	3711	Q68	Q70	f	f
180	3717	Q71	Q73	f	f
181	3718	Q65	Q66	f	f
182	3718	Q68	Q74	f	f
183	3727	M20.1	M20.6	f	t
184	3733	S80	S89	f	f
185	3735	M22.0	M22.1	f	f
186	3746	Q65	Q79	f	f
187	3748	M22.0	M22.1	f	f
188	3753	M20	M21	f	f
189	3758	M20	M21	f	f
190	3822	Q76.3	Q76.4	f	f
191	3853	S12.0	S12.3	f	t
192	3932	M75	M77	f	f
193	3942	M71.2	M71.3	f	f
194	3943	M71.2	M71.3	f	f
195	3946	M76	M77	f	f
196	3950	M76	M77	f	f
197	3981	G56	G58	f	f
198	3983	M54.3	M54.4	f	f
199	4040	M91	M92	f	f
200	4041	M90	M93	f	f
201	4064	Z89	Z90	f	f
202	4065	M20	M21	f	f
203	4066	Q65	Q79	f	f
204	4067	M40	M43	f	f
205	4077	Z96	Z97	f	f
206	4143	Q62.0	Q62.3	f	f
207	4211	N82.0	N82.1	f	f
208	4224	A50	A64	f	f
209	4352	N81.2	N81.4	f	f
210	4353	N81.2	N81.4	f	f
211	4355	N81.2	N81.4	f	f
212	4356	N81.2	N81.4	f	f
213	4373	N86	N88	f	f
214	4407	O71.7	O71.8	f	f
215	4412	O71.7	O71.8	f	f
216	4419	N91.3	N91.5	f	f
217	4493	O00	O08	f	f
218	4520	O65	O66	f	f
219	4559	O66.2	O66.3	f	f
220	4591	O90.0	O90.1	f	f
221	4598	O77.0	O77.1	f	f
222	4641	O35	O36	f	f
223	4643	O35	O36	f	f
