id	exclude_id	category
91d4cbf2-2357-42cf-a25a-90a519703787	02395396-e4e7-4a95-ac88-8aab360de9eb	H46
6d1f7987-f159-4765-8a73-3b850860b580	cb63a815-140c-4539-ad30-a10fa0831977	G35
266cfe0e-4a5e-4944-bc32-39618e5b2d39	caa4515d-ef4a-4747-a7af-960abf1176f8	P90
4f004b10-0e6a-4549-89d8-3f52f12432dc	50914ef3-e903-43c9-8aba-8980b2f5f64f	H46
e9dec576-3eed-4909-a0da-bdcedf974a45	d6da594f-dcba-4bd6-b4fc-a5be1559e298	S14
60181ef1-7b69-40f8-a2e8-9497c79b3d6f	e8ad996a-a242-463b-b31c-871eba7f9c1f	R52
5771ef09-3b46-43cf-afee-3d28111920b2	d6da594f-dcba-4bd6-b4fc-a5be1559e298	S24
c034cdc3-ba2b-44ff-83d0-682647b83378	6771989d-b6c9-4df0-be6d-ef4923eb6ada	R52
7e64daeb-6135-449f-be73-0f371de6e10c	d6da594f-dcba-4bd6-b4fc-a5be1559e298	S34
9384fa77-763f-41d2-84c4-63adfa4a2919	b1053cc9-b55a-4311-9597-de6feab756a0	N23
cd5fb7b5-e251-46ab-9a2a-b6144c160c0b	8cbe6e55-454b-4425-ab45-d03d0f6731ca	P84
565b5c50-4ae4-4bef-825b-a0a2905789be	b1103dea-992e-42d9-9d74-cba8a851be38	G94
2d906c18-6919-4671-95e1-4f49eea3a47e	a31839cf-89fe-4466-a2cd-a0539f823d0b	G08
a1ad7d85-b30c-4b86-8592-fb4cd50c06d5	b175325b-4182-4440-a093-7610730ca717	H65
26956c20-37c4-4660-97b1-838f62555ce5	534d5e1b-26d4-4272-8b11-27769bd41985	H65
f5b54733-568a-495a-b8aa-1a427020c3e4	b175325b-4182-4440-a093-7610730ca717	H66
2280c048-d8ac-41af-8e5c-994c73bdad1f	534d5e1b-26d4-4272-8b11-27769bd41985	H66
941038f7-922c-4aff-a496-a9bd46dca096	cebbd4f5-fa28-448c-a9eb-436117abdad2	R42
