id	created_at	updated_at	name	category	inactive_reason	address_id	location
13e13353-8bf3-4c08-854f-eefddc6057a2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Silveira			6321a9f0-62cb-4437-a8ec-9062c4f65cfe	0101000020E6100000032600E0D0AF3F40E76F4221020634C0
c551cad2-9cde-419a-bf08-31608c307baf	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mukore			7088fcbe-448b-4ee3-a873-1e42b4d2cd1e	0101000020E61000000F62670A9DD73F4023F3C81F0C2434C0
33c546eb-a192-4be4-936c-ea89fc51d97b	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mutikizizi			2f4baf35-c771-43e0-96d7-dbdb6da3b691	0101000020E61000004BB0389CF9B53F40BDC62E51BD3534C0
d35f3c5a-6d7c-400f-b033-feeb92531218	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Gangare			ae2beaa4-e9d1-474b-8b7b-12fe88c0c7b2	0101000020E6100000707CED9925D13F405F07CE1951EA33C0
96957515-2383-4730-a50b-39ee453a9af8	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Masarasa			0ec8e8e7-f82d-4044-8c62-156fce6a4b87	0101000020E610000087E123624A6C3F4093A9825149F533C0
c3d92a96-0ed6-4fcc-a542-677390b8aa03	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Mungezi			1eea6a66-c8d9-4f84-931b-82e9b142d1ea	0101000020E61000002F8672A25D853F4052D50451F7E933C0
9abc9f1e-027e-4fdc-a0db-836959b94d5b	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Negovano			0a881e07-ed3b-4480-8377-cdbfd79e2c9f	0101000020E6100000A73FFB9122BA3F40D39FFD48112134C0
d6d6e30a-28b7-415f-b6e4-3fe376f1a2c9	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Gava			d05a65cd-1856-4a51-8fb5-cc87261002df	0101000020E610000001309E4143CF3F4044DD0720B58934C0
40198812-3cd7-4859-9c69-8c23fe0f3938	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Bindura			13a5a7dd-8dc2-4976-81c5-4c241fb236b8	0101000020E610000057D6FF3F2A543F406E3480B7404A31C0
34ac4347-8827-4431-bc4e-ea7bf022e5c2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Bindura Polyclinic			2fb95646-90bd-4680-81cb-1307476b9cdf	0101000020E6100000630E00A0FC543F40658D7A88464F31C0
2ef55cf0-8ebc-45b3-aa9a-aab9ed7bcec6	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chipadze			f51a1fae-1a8b-4bcb-b91d-3495f16ed4e9	0101000020E6100000D6170020EB5A3F401ADD41EC4C5131C0
f2858b23-5807-4b08-b49a-731a992d010c	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chiriseri			96dbed90-60f2-4799-8141-de394f851bdc	0101000020E610000078CFFF3F4E293F406A300DC3477431C0
f3c07611-8fe0-4968-b742-7e640491ff20	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chiveso			6df73cfa-fcb3-4884-8114-b6591af63c43	0101000020E6100000681700607D593F40919BE1067C7631C0
6987c499-1100-42cc-a487-8023ac1dab7a	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Chiwaridzo			99466653-f3ba-4bc5-b6d5-2d5029b0bcae	0101000020E61000002A2B00E0F55B3F40FC1D8A027D5231C0
596481cb-352e-44a7-ba04-4decddc40f05	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Foothills			bbe0c2c0-c2ce-44a0-9e33-d3125ddce7ac	0101000020E6100000710600402E473F40D8817346943631C0
7f159956-dfe3-4f21-a2ec-cebe3ab1549d	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Manhenga			70512907-5904-4d3a-8cd2-86e2d59c5430	0101000020E6100000D10E0060EA4F3F40AF946588636531C0
118dc34a-9273-4a6d-8600-ede5a6ce5dc2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Farm H.Centre			a329b0b2-3df6-41fa-85f9-075749ce253e	0101000020E610000026E2FF5F145B3F40C45F9335EA5131C0
422f9dc4-bda7-485c-b0a8-f2c4b7cd8943	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Freda Rebecca			9fc4b756-ff95-4ad9-aac4-7a60fc70aedd	0101000020E6100000630E00A0FC543F40658D7A88464F31C0
867983a5-08b6-4916-9e37-f232623780bb	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	ZRP Bindura			c176c8db-004c-4773-83d5-dd8a5e30a684	0101000020E610000064EEFF3F2C543F40F92CCF83BB4B31C0
57dfc76f-69a8-4bac-9c1a-dd0937d7ed21	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Muonwe			1a6cf281-8590-4e7e-9bc7-42baa8b55fe7	0101000020E6100000B8E1FF9FE6403F4076E09C11A58531C0
cbef2d7e-6dee-42fd-9515-17b8c09f37d2	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Nyava			c2c14c77-39f6-4576-b4e6-fabaaa26eeac	0101000020E6100000551600004B5C3F40718FA50F5D9031C0
9f9817a6-b1ca-467d-9d34-2c705b64fa92	2024-10-08 17:36:52.443494-04	2024-10-08 17:36:52.443494-04	Rusununguko			847e8a22-987f-4985-8ff0-343f1e00723f	0101000020E6100000F52D0040DF473F409DF4BEF1B50F31C0
