id	exclude_id	code_range_start	code_range_end	code_range_start_dash	code_range_end_dash
06b46024-c930-41a4-9f91-778f8fd24b7c	6c2de42d-2537-482c-9586-5a90635d638d	J70.0	J70.1	f	f
fd985fa0-5dd9-470d-b500-a57c8fbe4455	c13dba6e-05cf-4b73-99c2-2c730e524b0b	J95.1	J95.2	f	f
499998e1-154d-4df4-a172-511f52e798b4	73f24b29-fcb4-4d95-890a-79ada977adfa	B40.0	B40.2	f	f
4092445e-ee37-44c5-a62b-f4f278fb524d	3606acd5-fa05-41af-8369-5bae5dfc77ff	B38.0	B38.2	f	f
0480c19c-16f0-43e8-8530-5f13ecb3a181	3477bb8d-a99b-45d2-ad50-c056cd415412	B39.0	B39.2	f	f
4a8440c7-8a7f-4eb5-8819-7d222dd7b6bb	6cf5d50b-84d3-4d70-87fa-b68c358f92f8	M31.30	M31.31	f	f
57f13d69-f6e9-4c9c-84a8-daf9b23fa8c2	a3d8ff16-e666-43d1-a7d5-8dea46822015	K04.6	K04.7	f	f
df7e1a8e-6867-42f5-8cfc-5586dffb1c97	c4b582e5-41f3-4ae2-8e18-282a83e07642	K05	K06	f	f
d6f57bf0-e280-4030-b4f5-052290b3dfb5	2d5d7aa3-307d-4ffd-9936-c3b07df5813d	L55	L59	f	f
f80286c5-7299-41c3-bedc-1ac0ac1b1085	bb4e0f82-f76a-41c7-a4dc-f09cb295e109	K57.00	K57.13	f	f
ffcdd37c-750b-4ac8-8e45-8edca292c76e	ced9bec4-a557-4e0f-8b05-b16d540d5c88	Q41	Q42	f	f
a2d06647-23d9-43c5-8f4c-1224e7ab4ddd	ec4342f4-d1e7-4666-be3e-ae2f456aef66	K40	K46	f	f
b41ca98a-5949-44fc-ae2a-224a54689012	63514b4e-3321-4e2c-b8e5-87db952bfa63	N82.2	N82.4	f	f
56d06f80-d51d-42b3-b2c9-8a448d3d7278	b45288ce-b2f7-45a4-9de7-3998e688aa15	P78.0	P78.1	f	f
715e6536-2d1a-441a-9c2f-ab1a2722e421	d6d09385-cefd-4a4a-a525-a7eb3393f2f2	N73.3	N73.5	f	f
ba77fa19-d9ab-491d-87b7-7a93b02c21d4	3d4ed453-b1c3-43a1-8d3e-bd469ce7b17f	O00	O07	f	f
c154fe03-c210-4ec8-9f57-170ff5b9c6bc	c579e94e-cfbc-4c8d-8ea5-504c6ffedb76	P55	P59	f	f
899bb65b-900d-4081-888c-189b823b2b79	0dde7ab2-d5d5-46a2-8b74-283343ba9aea	O00	O07	f	f
b0488318-ec9d-4bad-97f2-ee12ddb78bc4	e53e69bd-b80a-48ec-b13e-7b47cbdcb8f9	B15	B19	f	f
4d66cc4b-3f15-4c51-b196-af22ae945038	47b154b5-4aaa-4713-b2e7-2ff6d1c2c1b5	B15	B19	f	f
7052d556-5018-4548-926e-44a0df51c328	a9259867-740d-44dd-aa6e-706d8f964d93	B15	B19	f	f
f658cf08-7307-4414-a57e-8550b1faebfd	cf1d5292-05b9-4e9f-903d-8dd750530523	B15	B19	f	f
8a584b19-4477-40a7-acd4-f0357cdb959b	187182f6-9e25-48ec-b842-928b1f76489f	B15	B19	f	f
a900c9a7-3d57-45cf-94fe-eec5a761e72c	bd0186b4-0821-4aa2-a447-3b40a5338a83	K81	K82	f	f
af6d0a4d-9006-4698-abc4-926915056818	94f947aa-11ae-49b8-ba10-82aea48a4738	K81	K82	f	f
279cc6e0-a686-4c74-96dd-4208e20f9959	bfbc222e-63e1-4e3c-92f8-78529174f139	P54.0	P54.3	f	f
c9a334b4-9e62-489b-ab28-b9402254f247	a0a0adcb-e74a-433b-91bd-1787ef306181	K25	K28	f	f
e8015541-6c46-4e21-996b-40c5ad06616a	d99b746f-e04e-42a3-96fd-6736266903b6	L55	L59	f	f
3b7bd1a1-21e3-457f-9d19-8bab190851e6	77fed026-38a4-44b8-ae29-e34ff2986798	L27.0	L27.1	f	f
ffaf074b-68c8-4d91-a513-bc6976b75ad9	7d7c930a-cda8-4c49-98d6-fcb394d40c4a	L55	L59	f	f
e982fe98-5a5e-462a-9c2b-e026f1d8163e	4d3aa2cc-6807-4a9a-926e-feba604cd33d	L55	L59	f	f
422e7d7c-ade5-44e9-9ec7-ed06a279ca92	b88d5c1c-3043-4dab-85b1-9b7d56f42c06	L27.0	L27.1	f	f
1d994f4b-f79a-489e-a2ed-a0af3ee03048	d859c4b0-b5b0-4392-90a8-b47c9276b654	T78.0	T78.1	f	f
2c4e51a5-bea9-4ae0-9c74-4a21ed42114c	5db25791-5a58-40cf-b81b-7a36e56b3627	L23	L25	f	f
9699c36f-031f-4118-bfe7-939a26ccf83a	43e5f573-248e-4208-8f26-4a778f43d095	L23	L25	f	f
55e8beac-389e-4fe2-aa21-10e2aa6e64af	9a2b3995-789b-4a03-a692-46224ea0a7ee	L23	L25	f	f
24ea89a9-2467-4e1c-8505-0bfa5a702859	8318710d-8da6-4374-9d0d-8002ca785455	L00	L08	f	f
c6cc64db-f0f0-4ac6-a967-be0680076b56	24660ae7-dfee-4731-9b1c-7983a2b1f2e3	M30	M36	f	f
