resourceId	address	city	country	postalCode	state	use
6970356c-65a2-40a1-8644-ff97703d3ff2	Sinyoni, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
7ddf2e04-099e-491c-bd34-af8c740d4946	Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	
67a954fd-8ac9-499c-bfb4-adb960ccee68	Mazunga, Beitbridge, Matabeleland South Province, ZW	Beitbridge		ZW	Matabeleland South Province	work
a50e34df-debd-45c0-9aff-d2ed72c8f3a4	Nyika Growth Point, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	
2d28978b-1006-43e2-9080-36164a7860ad	Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
208d0624-0fb7-49fc-8a50-7d986cac6986	Matsai Twp, Bikita, Masvingo Province, ZW	Bikita		ZW	Masvingo Province	work
ed518f15-0935-485c-94c8-9af8509af3d9	Chigiji Road, Chigiji Road, ZW			ZW	Chigiji Road	
c465f74d-6a4d-4ef0-8a01-c5a75aadfadc	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
de33a37e-6959-4f34-aa4b-9c838f26c9a9	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
7854a9e0-167c-433d-9fb8-a870ad4e1e7a	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
1d11ac04-ea22-4a9d-a917-4f96c2a75467	Mtepatepa, Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
8e304886-acfe-4b30-a8f3-873c6e0b06fb	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	
83455e35-06eb-4880-9423-421a578e4cf3	Bindura, Mashonaland Central Province, ZW	Bindura		ZW	Mashonaland Central Province	work
69d1f36f-53b8-4b65-bf36-d72714bcdfab	Mibizi, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
e868da92-80d3-46b3-9633-a3ea28815000	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
3a9c3ffa-c604-4e06-97c1-71ed738d22e2	Manjolo, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	
bc0ea0cc-fd8e-4572-8855-e2bcfc77c349	Siabuwa, Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
cb7b795a-f124-44f0-b7df-b103f077c95b	Binga, Matabeleland North Province, ZW	Binga		ZW	Matabeleland North Province	work
d21e2b69-ed58-4964-9053-43cc629780f0	Turk Mine, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	
f77c5e25-76b2-404d-9e99-cde255569c9c	Ngiki, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
868fdde0-132b-4396-8b94-3efa9194b285	Queens Mine, Bubi, Matabeleland North Province, ZW	Bubi		ZW	Matabeleland North Province	work
2d7a9451-af81-4169-96a6-1a6b951d6133	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
e08f1cb8-dfd7-4f68-8fc0-8afdc08e50b0	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
a225b02f-4a1b-41a7-8fc4-1aeaef3b9b9e	Baruru, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
3926bb40-6c87-4ade-9540-c6d3e1afaef9	Murambinda, Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	
9bb4f530-275a-4796-862d-e4bc82cd457a	Buhera, Manicaland Province, ZW	Buhera		ZW	Manicaland Province	work
39c082bd-349f-4284-8897-4536bef7f1cf	Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
92095d89-5703-47de-b75e-f28e21c56a83	Matole, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	work
d6297ea6-e8d1-4d2e-bf9f-10221f3c5cf4	Bezha, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
5ff0104e-76b3-491f-93dc-1e7ccef45b71	Plumtree, Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
bea3ff4f-873f-4034-8f76-420633ad98fe	Bulilimamangwe, Matabeleland South Province, ZW	Bulilimamangwe		ZW	Matabeleland South Province	
