id	created_at	updated_at	formatted	street_number	route	unit	street	locality	postal_code	administrative_area_level_1	administrative_area_level_2	country
2472ddc1-98d4-4f13-8e9f-e14ef2945a89	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
1a49a74c-675e-4fd9-b761-dc78ef810b2c	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Turk Mine, Bubi, Matabeleland North Province, Zimbabwe					Turk Mine		Matabeleland North Province	Bubi	Zimbabwe
57be6137-7d43-4270-861d-b91dd14090f2	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
ea76d1be-efae-4b23-a417-d2c9600c76c1	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
d1c2e1f6-18c0-47d9-b874-7395afde1592	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
2d9cee29-d1d6-4a09-920f-93ebb13f8fa5	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
ff74cb3e-96c8-4d74-ae98-68677c210083	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Bubi, Matabeleland North Province, Zimbabwe							Matabeleland North Province	Bubi	Zimbabwe
6a5286f3-f183-43f5-ae82-b1a5249add47	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
87376016-1c4d-4ada-baaf-285bb5b0f71f	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
ed24b515-073c-4e1e-a124-d7951648b531	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
e0da9906-f2f5-41a6-b86b-d3fc520f6b2b	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Birchenough Bridge, Chimanimani, Manicaland Province, Zimbabwe					Birchenough Bridge		Manicaland Province	Chimanimani	Zimbabwe
895e2267-734c-44ff-a3cf-c30ec6446083	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe					Buhera		Manicaland Province	Buhera	Zimbabwe
a2e2524f-8272-43e2-a0b0-8361f282c832	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
9304f00b-1796-42b1-be97-9fa284aee03d	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
9740970d-701c-4749-a70e-1f24ef1545ed	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
1ba87ad1-2c49-4a4d-9365-4dc52fa671ab	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
c396856a-b543-4abf-8713-55d1bce0fd16	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
5f96148d-ebf5-4f93-ab65-65f7eacefd0e	2024-10-09 09:46:31.991808-04	2024-10-09 09:46:31.991808-04	Buhera, Manicaland Province, Zimbabwe							Manicaland Province	Buhera	Zimbabwe
