id	age_determination	pregnancy	warning_sign	priority
192981006	adult	t	Seizure	Emergency
192990004	adult	t	Seizure	Emergency
192991000	adult	t	Seizure	Emergency
192993002	adult	t	Seizure	Emergency
193000002	adult	t	Seizure	Emergency
193003000	adult	t	Seizure	Emergency
193010006	adult	t	Seizure	Emergency
193021002	adult	t	Seizure	Emergency
198992004	adult	t	Seizure	Emergency
230191005	adult	t	Seizure	Emergency
230381009	adult	t	Seizure	Emergency
230384001	adult	t	Seizure	Emergency
230387008	adult	t	Seizure	Emergency
230388003	adult	t	Seizure	Emergency
230389006	adult	t	Seizure	Emergency
19598007	adult	f	Seizure	Emergency
23374007	adult	f	Seizure	Emergency
29753000	adult	f	Seizure	Emergency
33941008	adult	f	Seizure	Emergency
34601006	adult	f	Seizure	Emergency
36803009	adult	f	Seizure	Emergency
38281008	adult	f	Seizure	Emergency
39194005	adult	f	Seizure	Emergency
41497008	adult	f	Seizure	Emergency
41510006	adult	f	Seizure	Emergency
44145005	adult	f	Seizure	Emergency
49255002	adult	f	Seizure	Emergency
230391003	adult	t	Seizure	Emergency
50866000	adult	f	Seizure	Emergency
52125007	adult	f	Seizure	Emergency
230393000	adult	t	Seizure	Emergency
53482009	adult	f	Seizure	Emergency
58895005	adult	f	Seizure	Emergency
230394006	adult	t	Seizure	Emergency
60317006	adult	f	Seizure	Emergency
230395007	adult	t	Seizure	Emergency
61927004	adult	f	Seizure	Emergency
230396008	adult	t	Seizure	Emergency
66264000	adult	f	Seizure	Emergency
230397004	adult	t	Seizure	Emergency
68761002	adult	f	Seizure	Emergency
230398009	adult	t	Seizure	Emergency
69909000	adult	f	Seizure	Emergency
230399001	adult	t	Seizure	Emergency
71587006	adult	f	Seizure	Emergency
1023001	older child	f	Not breathing or Reported apnoea	Emergency
1821000	older child	f	Not breathing or Reported apnoea	Emergency
7688001	older child	f	Not breathing or Reported apnoea	Emergency
13094009	older child	f	Not breathing or Reported apnoea	Emergency
14041005	older child	f	Not breathing or Reported apnoea	Emergency
17057004	older child	f	Not breathing or Reported apnoea	Emergency
27405005	older child	f	Not breathing or Reported apnoea	Emergency
37952003	older child	f	Not breathing or Reported apnoea	Emergency
41975002	older child	f	Not breathing or Reported apnoea	Emergency
50636009	older child	f	Not breathing or Reported apnoea	Emergency
54602006	older child	f	Not breathing or Reported apnoea	Emergency
57000008	older child	f	Not breathing or Reported apnoea	Emergency
63214000	older child	f	Not breathing or Reported apnoea	Emergency
70073005	older child	f	Not breathing or Reported apnoea	Emergency
73430006	older child	f	Not breathing or Reported apnoea	Emergency
78275009	older child	f	Not breathing or Reported apnoea	Emergency
79280005	older child	f	Not breathing or Reported apnoea	Emergency
90701007	older child	f	Not breathing or Reported apnoea	Emergency
95616002	older child	f	Not breathing or Reported apnoea	Emergency
111968005	older child	f	Not breathing or Reported apnoea	Emergency
230493001	older child	f	Not breathing or Reported apnoea	Emergency
230494007	older child	f	Not breathing or Reported apnoea	Emergency
274214008	older child	f	Not breathing or Reported apnoea	Emergency
276544005	older child	f	Not breathing or Reported apnoea	Emergency
276545006	older child	f	Not breathing or Reported apnoea	Emergency
276546007	older child	f	Not breathing or Reported apnoea	Emergency
276725001	older child	f	Not breathing or Reported apnoea	Emergency
277356002	older child	f	Not breathing or Reported apnoea	Emergency
301821009	older child	f	Not breathing or Reported apnoea	Emergency
361208003	older child	f	Not breathing or Reported apnoea	Emergency
371101003	older child	f	Not breathing or Reported apnoea	Emergency
416945002	older child	f	Not breathing or Reported apnoea	Emergency
442164004	older child	f	Not breathing or Reported apnoea	Emergency
719976001	older child	f	Not breathing or Reported apnoea	Emergency
722914008	older child	f	Not breathing or Reported apnoea	Emergency
722915009	older child	f	Not breathing or Reported apnoea	Emergency
724229002	older child	f	Not breathing or Reported apnoea	Emergency
724506009	older child	f	Not breathing or Reported apnoea	Emergency
724507000	older child	f	Not breathing or Reported apnoea	Emergency
762287001	older child	f	Not breathing or Reported apnoea	Emergency
765751002	older child	f	Not breathing or Reported apnoea	Emergency
774068004	older child	f	Not breathing or Reported apnoea	Emergency
789009003	older child	f	Not breathing or Reported apnoea	Emergency
789055001	older child	f	Not breathing or Reported apnoea	Emergency
1091000119108	older child	f	Not breathing or Reported apnoea	Emergency
1101000119103	older child	f	Not breathing or Reported apnoea	Emergency
9741000119101	older child	f	Not breathing or Reported apnoea	Emergency
85721000119105	older child	f	Not breathing or Reported apnoea	Emergency
91441000119109	older child	f	Not breathing or Reported apnoea	Emergency
104831000119109	older child	f	Not breathing or Reported apnoea	Emergency
16275741000119100	older child	f	Not breathing or Reported apnoea	Emergency
217781531000119107	older child	f	Not breathing or Reported apnoea	Emergency
403190771000119102	older child	f	Not breathing or Reported apnoea	Emergency
679196341000119100	older child	f	Not breathing or Reported apnoea	Emergency
12770006	older child	t	Central cyanosis (SPO2 less than 92%)	Emergency
84260001	older child	t	Central cyanosis (SPO2 less than 92%)	Emergency
95837007	older child	t	Central cyanosis (SPO2 less than 92%)	Emergency
271584002	older child	t	Cold Hands	Emergency
241006	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
6204001	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
7033004	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
7454002	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
7689009	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
9112001	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
13973009	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
14521008	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
15523002	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
15938005	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
16873003	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
19334007	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
19598007	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
23374007	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
29753000	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
33941008	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
34601006	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
36803009	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
38281008	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
39194005	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
41497008	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
41510006	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
44145005	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
49255002	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
50866000	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
52125007	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
53482009	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
58895005	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
60317006	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
61927004	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
66264000	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
68761002	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
69909000	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
71587006	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
73706008	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
75023009	older child	f	Convulsing or Immediately Post-Ictal not alert	Emergency
1023001	older child	t	Not breathing or Reported apnoea	Emergency
1821000	older child	t	Not breathing or Reported apnoea	Emergency
7688001	older child	t	Not breathing or Reported apnoea	Emergency
13094009	older child	t	Not breathing or Reported apnoea	Emergency
14041005	older child	t	Not breathing or Reported apnoea	Emergency
17057004	older child	t	Not breathing or Reported apnoea	Emergency
27405005	older child	t	Not breathing or Reported apnoea	Emergency
37952003	older child	t	Not breathing or Reported apnoea	Emergency
41975002	older child	t	Not breathing or Reported apnoea	Emergency
50636009	older child	t	Not breathing or Reported apnoea	Emergency
54602006	older child	t	Not breathing or Reported apnoea	Emergency
57000008	older child	t	Not breathing or Reported apnoea	Emergency
63214000	older child	t	Not breathing or Reported apnoea	Emergency
70073005	older child	t	Not breathing or Reported apnoea	Emergency
73430006	older child	t	Not breathing or Reported apnoea	Emergency
78275009	older child	t	Not breathing or Reported apnoea	Emergency
79280005	older child	t	Not breathing or Reported apnoea	Emergency
90701007	older child	t	Not breathing or Reported apnoea	Emergency
95616002	older child	t	Not breathing or Reported apnoea	Emergency
111968005	older child	t	Not breathing or Reported apnoea	Emergency
230493001	older child	t	Not breathing or Reported apnoea	Emergency
230494007	older child	t	Not breathing or Reported apnoea	Emergency
274214008	older child	t	Not breathing or Reported apnoea	Emergency
276544005	older child	t	Not breathing or Reported apnoea	Emergency
276545006	older child	t	Not breathing or Reported apnoea	Emergency
