id	created_at	updated_at	strength_numerator	manufactured_medication_id	consumable_id
eacdf3b4-cfa1-4fa9-9e7e-234e16bbb7d7	2024-05-01 17:00:03.662627-04	2024-05-01 17:00:03.662627-04	300	984cf2e7-08af-410b-86b9-6bcc3701b6ca	ae2289c3-2f67-4b32-8261-59dacbe9611c
1c1c65f2-5f18-40a5-8d03-6ce92babdda8	2024-05-01 17:00:03.662845-04	2024-05-01 17:00:03.662845-04	20	16c58706-a15f-487e-9b0e-4211c6330722	d02bafc5-10e9-4eba-9e80-f24a78f3dd21
8dd5de56-43a6-4ccb-bb0f-80b3680b7fe1	2024-05-01 17:00:03.662939-04	2024-05-01 17:00:03.662939-04	240	052c83fb-4b17-4de6-9781-0c67f21a455c	d5a1acd3-2eb5-43e7-b9bd-cbdfcf6bce23
824aa9b3-72b4-42b7-912b-584ae72637dc	2024-05-01 17:00:03.663108-04	2024-05-01 17:00:03.663108-04	5	c84e3cdf-d37b-48e9-83ba-250b7b6c72f7	a61650ce-759e-4a7f-86e3-571849d10d7a
7b16143e-3bdc-4e6e-87a4-67131de38734	2024-05-01 17:00:03.663198-04	2024-05-01 17:00:03.663198-04	100	a0e975fd-f587-4690-b83c-ad87c1c5ceb3	5029ce27-2a58-4057-99e7-2556a616f6cc
2d30f497-70a0-4765-b9f6-f4064ffaf5d3	2024-05-01 17:00:03.663652-04	2024-05-01 17:00:03.663652-04	500	23df51b5-dafa-40c1-825b-b2f304b66175	23eccc8e-33d2-43f1-aecd-9221710fcb07
a5d1297d-b549-4dcd-b44a-18a1e6866a89	2024-05-01 17:00:03.663934-04	2024-05-01 17:00:03.663934-04	75	174cdc22-cf1c-4b1d-8bcd-2dfc37caf1d9	49815f1c-108d-49e4-8e20-1c21e6bc97a9
de0f103e-7869-49e0-b8b9-feece63d11d2	2024-05-01 17:00:03.664411-04	2024-05-01 17:00:03.664411-04	50	31269d00-5a55-4f36-b88b-54b3d135065c	48f8bc2b-6341-487f-9c64-60364326d8dc
6ee82590-56ff-4b24-bea6-f81146dbc4a6	2024-05-01 17:00:03.665249-04	2024-05-01 17:00:03.665249-04	25	e5a8cd2a-539f-45ce-96be-949ca9e7b794	7e446c5c-574b-4db8-abea-0f473b77d16b
6e81118b-4d64-46f6-b30f-ed682c687450	2024-05-01 17:00:03.665421-04	2024-05-01 17:00:03.665421-04	20	d89fad37-373c-4527-b62a-f85fda30666a	f7b52c46-a270-4b48-ab70-a5f2cd982a18
