id	units_snomed_concept_id	value	value_low	value_high
4973ec0f-03dd-441f-a5bf-749429e6f4c9	258682000	2		
0d0809ed-7c3e-4b15-8026-1e3478970aa2	258684004		1	2.5
e4452e94-74a0-45d1-b191-32826dd0319d	258684004		1	2.5
0cbb3d71-7c55-41d5-916e-a82d0769b975	258684004		1	2.5
df5baeb8-57fe-4b6f-9032-2af52d6a9489	258684004		1	2.5
6f0cf065-2656-4710-b866-6c60a98d63e8	258684004		10	15
957da4a6-1552-4870-81d9-ca961d2f44c7	258684004	10		
0d771965-161a-47d2-8e3b-c794c10b86d1	258684004	10		
4f59b9d6-5905-4e2b-8e2f-d95f735bc623	258684004	7.5		
d4b4e5c0-a8fc-4681-8847-5f61a4e51fe3	258684004	10		
106c0d8b-4c3f-4e49-88f9-2fcae874a419	258684004	10		
b00490c1-2c78-4087-a5ce-4d27a6588746	258684004	10		
a6292f42-7c24-444c-8399-d6adeb8d1a99	258684004	10		
aa00003e-f8ad-4cac-98de-4cf3547deb8c	258684004	10		
c5205006-6891-4655-9193-2a8d19fbfbef	258684004	10		
bd2bcd05-262c-491e-a469-923bf1e2aa42	258684004	10		
2467a139-7ff9-4fd6-b24f-ff45b4f163c5	258684004		10	20
d4b8aaa0-4ab9-4c4a-970b-1ea2a8a19f9d	258684004		10	20
7090859d-05c0-4084-8eaa-824859b6b861	258684004		10	20
eec78836-2cc6-4e2c-98b6-f4471aa87626	258684004	10		
8950f2a5-bbd3-4ef6-9af5-ae31fbc31c82	258684004		10	20
f7d3d586-3ace-46ab-9053-dbae3f6144d0	258684004	10		
e00de5da-4087-41db-9235-044047ff2cf2	258684004		10	20
ceeff775-3221-4885-82e5-8d4444dd94ee	258684004	10		
0ba2aaf4-619c-4d76-8b01-6fbd10ce2ae2	258684004		10	20
3b0797d4-4379-46d8-b2c6-4378827c641d	258773002	100		
6bfbed9e-54af-4fe2-8c6a-4dd9a61f32aa	258684004		25	50
93cd7f0b-1638-4b0c-91ea-01ee5278f880	258684004		25	50
904786af-c337-4c8e-826e-0a495252f377	258684004	100		
8998e85b-9a8b-4b6a-b209-2f932f6279c3	258684004	100		
4765afaf-eb20-46dc-a159-82e000302cfc	258684004		40	120
26b3d31b-4baa-41bd-8383-c58ee1ba88ba	258684004		40	120
5d51cb2b-4f83-4e70-8a95-90d720ccc480	258684004		40	120
ec68ee9d-8e9c-482e-bfc2-ba6431b95d14	258684004	5		
db865787-113f-4ed3-881c-0deb085ee159	258684004	5		
