id	medication_id	value	units	description
77d7cf59-bef5-474c-9c27-2354fe128e21	5a4c88a9-d74a-412f-b0a1-c3f5e37bfa56	5	ML	ELIXIR
65fcb63d-c12f-4650-bdbb-6ec6a31eddf0	50affb7a-71d5-41f1-81d2-f4071ccbf641	100	G	CREAM
45a95a19-65af-4815-8c93-ac2e4823eb3d	454c39e9-2f1b-4f1c-a15c-0d0b067ed67d	1	TABLET	TABLET
900d2bec-08fd-430a-bf2d-2ef9ceb6182b	d39af6bb-3a7d-4f7f-93d7-0f0d722f2c46	1	TABLET	TABLET, COATED
78ade65c-11bb-4745-8140-291012e542d3	d5e88ac3-568e-4009-be60-f9f60aae2d1f	1	DOSE	POWDER/SATCHETS
141a502a-6de1-4be9-81ae-ab4a25309f1d	98d8aed9-bef4-4bbf-87e5-c169a4e877c9	1	TABLET	TABLET, COATED
54fd2ee9-2745-43bf-bbe5-2d5ae50915b7	def5ba49-b6b3-489f-9ce0-316d8b9e826b	3	ML	INJECTABLE
ed5482c0-818a-4462-bb08-4b64fcabb442	bc6d2412-39bb-43d5-b726-5e94af4a1a2c	1	TABLET	TABLET
d3b16cbe-58bd-45c7-a37e-dff0a29ff1a0	96c7059f-85e7-4d8b-ad4a-92ef520e2049	1	TABLET	TABLET
e847f4a6-6c55-4d4c-a862-34cbe7420346	5743b679-f50b-4e69-bee1-55f913f424c6	1	TABLET	TABLET, COATED
acb47600-21ad-461e-b804-4bbf8009cc9f	685205e0-0c76-4f3d-9cab-2c455070956d	1	TABLET	TABLET
b73ff515-1222-4758-be2e-40935ddf3bf4	a889912c-783e-4101-8449-7da52578f030	1	TABLET	TABLET
9c01bdad-01a9-4469-8f56-ed8e0e5538ca	f8959e1b-359c-4eb2-9a24-73f0bef98924	1	TABLET	TABLET
96b0ecea-4ad5-41b6-9b99-a74ae460969e	a5548e4b-3f5e-4f4a-819a-955aab5331a9	1	TABLET	TABLET
fa592645-40af-4234-8e64-60cd382d832c	ed2eb335-b458-45ae-bea1-b870deac6263	5	ML	SUSPENSION
cec70341-1fc9-4f46-bebf-21d107b224e3	28a1ea99-9dbc-4a65-b1ad-931fa10949ae	1	TABLET	TABLET
2047c7b7-702c-4550-919e-bceac5ae1f55	e4620034-4760-4556-8638-90e113b59e5f	1	TABLET	TABLET
b632c832-fd67-4d63-aeaf-ee874f8f215e	dd8e0b62-f1d0-4bc7-b81c-d1449f85ed57	1	TABLET	TABLET
d9ea8843-5963-4ceb-bcb5-dc11492f049c	1dd168a8-775f-4671-a667-28a99d8cfd47	1	TABLET	TABLET
641c2c48-07da-4504-9caf-450f52e10307	1c1997ad-2c09-46b1-888f-e5afd1c3df30	1	ML	INJECTABLE
398e9344-c4ff-49e3-8596-c9e216537248	a8b513d8-8c15-4999-99cc-932172914548	1	TABLET	TABLET, COATED
310ba74b-c3a7-430b-9261-b84dcdded179	960663ad-bfb4-43bb-80ab-34ecd6702974	1	TABLET	TABLET
43e136f3-4b8e-4ea1-8d0f-46ba7541f849	04ca292c-449f-42e1-864d-d45cc84dc15a	1	TABLET	TABLET
5320dc6b-5828-4b27-a23a-fedf5c18e323	5726a01d-4291-4d19-96c0-6e36c7fa75dc	1	TABLET	TABLET
fa3286b9-32c1-4c09-9175-19698de833e3	e5372514-02f1-4a3e-a63f-08bbbc5e1e91	1	TABLET	TABLET
092f3e24-5327-4f72-8297-b2bf7c5c7f1b	598ec67b-eb13-416f-b475-f851e05d012f	1	TABLET	TABLET
cb1654b2-6ecd-4049-9ec0-e1124e637e4e	ed87d6bf-5efa-4cb6-bc40-a1f66ed96685	1	TABLET	TABLET
7e713a5c-d4fb-4dec-a748-d1a409d9bd0c	ae4fd900-bfe1-46cf-8297-009bf588a9f2	1	TABLET	TABLET
c0f7a2cf-f9fa-43ba-a90f-a269f602c6ab	5a16aca1-40bb-44a4-875d-d18d2f83248e	1	TABLET	TABLET
33d2ad4e-9c37-4565-8bc0-ace695df3a9f	0f06b6e2-c8f3-483a-806c-f4e8187cb804	1	TABLET	TABLET
2b45ab68-c234-4d29-807c-747764182359	9bb08d38-de5b-4e19-af7f-fc8bfd90f0f0	1	TABLET	TABLET
b177006e-0b99-410b-be9d-cdd59d54dc10	9af32d2f-bc79-46cd-ada3-b973e232bc6d	1	TABLET	TABLET
9e87c862-1f51-4837-bd39-75048a67a8ca	762eba8b-8f45-43f6-962d-d07e00e9093d	1	TABLET	TABLET
