condition_id	icd10_code
c_9869	N76.2
c_19934	S63.006A
c_19934	S63.006D
c_19934	S63.006S
c_21789	L40.3
c_21800	L50.5
c_21790	R23.4
c_9686	R29.898
c_2570	K55.9
c_4238	F03.90
c_16260	G40.901
c_10424	C56.9
c_8955	G93.9
c_10622	L81.9
c_9392	L08.9
c_4453	E51.2
c_10397	C49.9
c_29972	S00.35XA
c_29972	S00.35XD
c_29972	S00.35XS
c_2445	K76.89
c_9914	M47.812
c_6659	J35.2
c_10823	K27.3
c_6660	T74.92XA
c_6660	T74.92XD
c_6660	T74.92XS
c_2151	D50.9
c_5884	R82.4
c_10075	L81.4
c_4713	M43.10
c_6704	R10.83
c_6694	J05.0
c_8148	E74.21
c_10674	L58.9
c_8536	K52.9
c_8190	I81
c_8189	D49.9
c_8189	I74.9
c_8200	J61
c_8162	E87.8
c_11121	D23.9
c_2462	E27.40
c_2951	L68.0
c_25525	I15.0
c_2213	I27.81
c_8179	F50.00
c_2968	H46.9
c_8180	G06.0
c_2254	K64.9
c_10362	C62.90
c_4270	R76.11
c_29990	T14.8XXA
c_29990	T14.8XXD
c_29990	T14.8XXS
c_29990	W50.3XXA
c_29990	W50.3XXD
c_29990	W50.3XXS
c_2933	R33.9
c_8131	D49.89
c_2064	I85.00
c_10698	B35.1
c_10708	H80.90
c_10334	N83.299
c_17420	I76
c_8113	A05.1
c_2916	C92.00
c_3234	I71.9
c_4221	D75.89
c_4488	Q63.1
c_8841	T86.91
c_20151	T42.0X1A
c_20151	T42.0X1D
c_20151	T42.0X1S
c_8224	N64.4
c_10448	D49.2
c_8165	E66.2
c_8782	E88.9
c_2864	M79.606
c_4349	K60.5
c_10030	L98.0
c_3910	R09.89
c_3370	K59.89
c_21762	Q82.8
c_10736	D25.9
c_9429	K05.10
c_9696	S05.00XA
c_9696	S05.00XD
c_9696	S05.00XS
c_9706	K04.7
c_10369	D35.00
c_10370	D18.00
c_9430	K05.20
c_4384	F80.9
c_3851	I15.0
c_10386	C49.9
c_21778	R63.39
c_9505	G47.33
c_9568	N50.89
c_2341	C62.90
c_4948	S06.330A
c_4948	S06.330D
c_4948	S06.330S
c_19525	S32.009A
c_19525	S32.009B
c_19525	S32.009D
c_19525	S32.009G
c_19525	S32.009K
c_19525	S32.009S
c_17534	F40.02
c_10612	I96
c_4716	Q23.1
c_13441	O66.0
c_8391	D68.00
c_3345	N21.1
c_2882	K73.9
c_15065	F10.27
c_8397	E74.00
c_8407	C78.6
c_10857	I89.8
c_10293	C44.721
c_10303	D36.9
c_9734	G40.909
c_8381	E70.21
c_10352	D49.9
c_11190	S54.10XA
c_11190	S54.10XD
c_11190	S54.10XS
c_11189	S62.90XA
c_11189	S62.90XB
c_11189	S62.90XD
c_11189	S62.90XG
c_11189	S62.90XK
c_11189	S62.90XP
c_11189	S62.90XS
c_2358	M80.88XA
c_2358	M80.88XD
c_2358	M80.88XG
c_2358	M80.88XK
c_2358	M80.88XP
c_2358	M80.88XS
c_2161	I89.9
c_11217	S82.90XA
c_11217	S82.90XB
c_11217	S82.90XC
c_11217	S82.90XD
c_11217	S82.90XE
c_11217	S82.90XF
c_11217	S82.90XG
c_11217	S82.90XH
c_11217	S82.90XJ
c_11217	S82.90XK
c_11217	S82.90XM
c_11217	S82.90XN
c_11217	S82.90XP
c_11217	S82.90XQ
c_11217	S82.90XR
c_11217	S82.90XS
c_9811	L53.9
c_10553	C22.8
c_2923	C90.00
c_11086	D36.9
c_9907	M20.40
c_9897	M48.00
c_2167	F10.10
c_4062	R46.3
c_2202	H66.90
c_2192	H00.19
c_11211	K58.9
c_2299	L30.9
c_2309	L52
c_4731	J62.8
c_8572	J68.3
c_8336	M31.19
c_9801	H57.03
c_10630	D71
c_8235	M71.20
c_3450	K31.89
c_2317	M81.0
c_9940	B39.9
c_9940	H32
c_9939	B35.4
c_8138	E28.0
c_9271	K14.8
c_8277	R82.3
c_9908	M92.519
c_9898	S82.009A
c_9898	S82.009B
c_9898	S82.009C
c_9898	S82.009D
c_9898	S82.009E
c_9898	S82.009F
c_9898	S82.009G
c_9898	S82.009H
c_9898	S82.009J
c_9898	S82.009K
c_9898	S82.009M
c_9898	S82.009N
c_9898	S82.009P
